date,X,Y,Z,DB,a,pos
2016-07-30 14:40:39:856,8.207323,0.344765,-5.200206,51.85581,-0.0878008571111,-0.123067677223
2016-07-30 14:40:40:355,8.743626,0.363919,-5.497087,50.68154,0.524476191467,-0.117147589752
2016-07-30 14:40:40:856,8.619126,0.316035,-5.430049,48.30731,0.381891054535,-0.11252164003
2016-07-30 14:40:41:355,8.092402,0.459687,-5.27682,56.5419,-0.138231207273,-0.108332032734
2016-07-30 14:40:41:856,9.021352,0.363919,-5.621585,52.1532,0.82576263644,-0.103574542128
2016-07-30 14:40:42:355,8.245631,0.277727,-5.267244,46.69078,-0.0216690784268,-0.0972976990067
2016-07-30 14:40:42:855,8.18817,0.191536,-5.382165,46.98285,-0.00946358226138,-0.0888000860282
2016-07-30 14:40:43:355,9.27035,0.220267,-6.167464,50.98792,1.32667449758,-0.0777889898364
2016-07-30 14:40:43:856,8.446744,0.536301,-4.807557,50.92467,-0.0761566032535,-0.0644699660561
2016-07-30 14:40:44:356,7.766791,0.373495,-4.979939,52.7036,-0.576239476983,-0.0495488476529
2016-07-30 14:40:44:855,9.624692,0.354342,-5.985504,49.90509,1.5295993087,-0.0341432384935
2016-07-30 14:40:45:356,8.523358,0.287304,-5.085284,46.72568,0.119264249945,-0.0196167899202
2016-07-30 14:40:45:855,8.044518,0.383072,-4.539406,46.43227,-0.565151659311,-0.00736361263014
2016-07-30 14:40:46:356,9.461886,0.143652,-5.573701,48.83684,1.17244350823,0.00142053253939
2016-07-30 14:40:46:855,8.350976,0.105345,-4.683058,46.26338,-0.234984075576,0.00594080120646
2016-07-30 14:40:47:356,7.97748,0.603339,-5.24809,46.81217,-0.241998445474,0.00594431759699
2016-07-30 14:40:47:855,9.184158,0.114922,-5.72693,55.83048,1.01403309585,0.00177491738782
2016-07-30 14:40:48:355,8.140286,0.306458,-4.223372,52.71471,-0.634214272448,-0.00566831510695
2016-07-30 14:40:48:856,9.174582,-0.019154,-5.363012,52.30164,0.817098355741,-0.0150619532458
2016-07-30 14:40:49:355,8.868124,0.287304,-5.506664,54.62699,0.632677591341,-0.0248563731038
2016-07-30 14:40:49:856,8.39886,0.105345,-4.644751,45.90201,-0.211788774953,-0.0335074559232
2016-07-30 14:40:50:355,8.925584,0.057461,-5.027823,46.1937,0.434430468645,-0.0397026829187
2016-07-30 14:40:50:855,8.686164,0.440533,-4.903325,46.04318,0.174293185529,-0.042543905841
2016-07-30 14:40:51:355,8.341399,0.354342,-5.305551,45.52703,0.0820860764434,-0.0416571445248
2016-07-30 14:40:51:855,8.992622,0.411803,-5.353435,44.03916,0.663590523069,-0.0372129489028
2016-07-30 14:40:52:355,8.983046,0.507571,-4.501099,44.79663,0.250449093652,-0.0298567584922
2016-07-30 14:40:52:856,8.341399,0.181959,-4.357447,49.19901,-0.397275064431,-0.0205644231805
2016-07-30 14:40:53:355,9.184158,0.392649,-5.104438,51.50875,0.704666837423,-0.010450801344
2016-07-30 14:40:53:855,8.992622,-0.009577,-5.267244,48.81047,0.611669804276,-0.000566880918882
2016-07-30 14:40:54:355,8.178593,0.45011,-4.61602,44.9825,-0.407892623877,0.00827809644518
2016-07-30 14:40:54:856,9.193734,0.23942,-4.548983,46.03267,0.450375876811,0.0156385686852
2016-07-30 14:40:55:355,9.500194,0.086191,-4.999093,46.93515,0.925550556388,0.0214787071525
2016-07-30 14:40:55:857,7.967903,0.114922,-4.903325,46.5279,-0.453543334193,0.0261370287964
2016-07-30 14:40:56:355,8.743626,0.162806,-4.845864,44.07942,0.187994765352,0.0302190787746
2016-07-30 14:40:56:855,9.768344,0.565032,-4.817134,49.41149,1.09617190573,0.0344407092951
2016-07-30 14:40:57:355,8.379707,0.153229,-4.922478,50.7002,-0.0902387790248,0.0394530925821
2016-07-30 14:40:57:856,9.040506,0.268151,-4.3766,50.29352,0.237750059334,0.0456833174988
2016-07-30 14:40:58:356,8.743626,0.229843,-5.056554,48.87007,0.293096643477,0.0532208376676
2016-07-30 14:40:58:855,8.60955,0.067038,-5.228936,49.41405,0.263262479854,0.061770933934
2016-07-30 14:40:59:355,9.184158,0.325611,-4.979939,45.5679,0.642491240657,0.07068350064
2016-07-30 14:40:59:856,8.054095,0.105345,-4.194641,45.59453,-0.728449639135,0.0790513017659
2016-07-30 14:41:00:355,9.279926,-0.047884,-4.817134,48.26128,0.645816535158,0.0858590115194
2016-07-30 14:41:00:855,8.839394,0.105345,-4.893748,47.69307,0.294194838965,0.0901552081986
2016-07-30 14:41:01:356,8.619126,0.411803,-4.472368,47.68669,-0.0908956049382,0.0912156634191
2016-07-30 14:41:01:856,9.500194,0.114922,-4.865018,50.8647,0.864047650448,0.0886683806379
2016-07-30 14:41:02:355,8.389284,0.095768,-4.386177,46.26021,-0.342803677022,0.0825583918364
2016-07-30 14:41:02:855,9.11712,0.47884,-4.941632,45.88852,0.571276013257,0.0733418162604
2016-07-30 14:41:03:356,9.251196,0.114922,-4.644751,46.58167,0.542369117671,0.0618119038709
2016-07-30 14:41:03:855,8.39886,0.248997,-4.625597,45.42301,-0.218389269157,0.0489722228414
2016-07-30 14:41:04:356,8.79151,0.038307,-4.539406,46.1133,0.0843581064759,0.0358814832396
2016-07-30 14:41:04:856,9.461886,-0.229843,-4.481945,46.2852,0.662246438309,0.0234990140414
2016-07-30 14:41:05:355,8.303091,0.497994,-4.625597,47.06829,-0.292360282889,0.012558855322
2016-07-30 14:41:05:856,8.542512,0.172383,-4.654328,47.62224,-0.0803033808645,0.0034940862153
2016-07-30 14:41:06:357,9.74919,0.392649,-4.443638,48.58948,0.911324431634,-0.00357732336949
2016-07-30 14:41:06:855,8.312668,-0.086191,-4.204218,52.07927,-0.494243071106,-0.00880613298393
