date,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),SOUND LEVEL (dB)
2016-07-30 14:42:00:855,9.05966,0.296881,-4.836287,51.65894
2016-07-30 14:42:01:355,8.829816,-0.316035,-3.754108,47.4487
2016-07-30 14:42:01:856,9.107544,0.335188,-4.146757,43.85771
2016-07-30 14:42:02:355,9.126698,-0.172383,-4.118027,50.75084
2016-07-30 14:42:02:855,9.126698,0.392649,-4.223372,50.78075
2016-07-30 14:42:03:356,8.60955,0.373495,-4.060566,51.12123
2016-07-30 14:42:03:856,9.787498,0.545878,-3.888183,55.71634
2016-07-30 14:42:04:356,8.283938,-0.02873,-3.86903,48.40409
2016-07-30 14:42:04:856,9.5385,-0.105345,-3.945644,46.93228
2016-07-30 14:42:05:355,9.184158,-0.296881,-3.916914,45.91881
2016-07-30 14:42:05:855,8.944738,-0.134075,-3.993528,45.13744
